"Protocolo","Execucao","Base","Algoritmo","Repeticao","Semente_Externa","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,20260804,0.828382838283828,0.784172661870504,0.865853658536585,0.83206106870229,0.807407407407407,0.653823302621286,0.890507106509914,0.13029875209383,0.41356755549029,0.825013160203544,109,142,22,30,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,20260805,0.834983498349835,0.784172661870504,0.878048780487805,0.844961240310077,0.813432835820896,0.667364473540188,0.897876820494824,0.12428450526183,0.393031739711572,0.831110721179154,109,144,20,30,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,20260806,0.811881188118812,0.76978417266187,0.847560975609756,0.810606060606061,0.789667896678967,0.620400790796069,0.887041586243201,0.133068705561688,0.424003413557487,0.808672574135813,107,139,25,32,0,0
