"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Fold_Interno","Semente","Configuracao","cp","profundidade_maxima","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,3,12110503,"arvore_cp_0.01_profundidade_5",0.01,5,0.802469135802469,0.72972972972973,0.863636363636364,0.818181818181818,0.771428571428571,0.601550839912785,0.831388206388206,0.157323560134749,1.31548380334052,0.796683046683047,27,38,6,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,1,12110601,"arvore_cp_0.02_profundidade_5",0.02,5,0.775,0.783783783783784,0.767441860465116,0.743589743589744,0.763157894736842,0.549844989246108,0.785669390320553,0.185354045069704,0.590679537127085,0.77561282212445,29,33,10,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,2,12110602,"arvore_cp_0.02_profundidade_5",0.02,5,0.753086419753086,0.675675675675676,0.818181818181818,0.757575757575758,0.714285714285714,0.500669643157225,0.800061425061425,0.187668759093372,0.578636733191284,0.746928746928747,25,36,8,12,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,3,12110603,"arvore_cp_0.02_profundidade_5",0.02,5,0.802469135802469,0.72972972972973,0.863636363636364,0.818181818181818,0.771428571428571,0.601550839912785,0.831388206388206,0.157323560134749,1.31548380334052,0.796683046683047,27,38,6,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,1,12120101,"arvore_cp_0.005_profundidade_3",0.005,3,0.7625,0.783783783783784,0.744186046511628,0.725,0.753246753246753,0.526482821092095,0.813010685103708,0.184079362750691,0.57594680524632,0.763984915147706,29,32,11,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,2,12120102,"arvore_cp_0.005_profundidade_3",0.005,3,0.740740740740741,0.648648648648649,0.818181818181818,0.75,0.695652173913043,0.475678325265102,0.733722358722359,0.207449505229064,0.638296339293916,0.733415233415234,24,36,8,13,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,3,12120103,"arvore_cp_0.005_profundidade_3",0.005,3,0.765432098765432,0.648648648648649,0.863636363636364,0.8,0.716417910447761,0.528436898518777,0.788083538083538,0.176926743114557,0.542126682632631,0.756142506142506,24,38,6,13,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,1,12120201,"arvore_cp_0.01_profundidade_3",0.01,3,0.7625,0.783783783783784,0.744186046511628,0.725,0.753246753246753,0.526482821092095,0.813010685103708,0.184079362750691,0.57594680524632,0.763984915147706,29,32,11,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,2,12120202,"arvore_cp_0.01_profundidade_3",0.01,3,0.740740740740741,0.648648648648649,0.818181818181818,0.75,0.695652173913043,0.475678325265102,0.733722358722359,0.207449505229064,0.638296339293916,0.733415233415234,24,36,8,13,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,3,12120203,"arvore_cp_0.01_profundidade_3",0.01,3,0.765432098765432,0.648648648648649,0.863636363636364,0.8,0.716417910447761,0.528436898518777,0.788083538083538,0.176926743114557,0.542126682632631,0.756142506142506,24,38,6,13,0,0
