"Protocolo","Execucao","Base","Algoritmo","Repeticao","Semente_Externa","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,20260804,0.841584158415842,0.798561151079137,0.878048780487805,0.847328244274809,0.822222222222222,0.680562195952943,0.899982453061941,0.127035881485169,0.400957378993731,0.838304965783471,111,144,20,28,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,20260805,0.818481848184819,0.79136690647482,0.841463414634146,0.808823529411765,0.8,0.633999497906866,0.8972188103176,0.12953913765548,0.408496597728591,0.816415160554483,110,138,26,29,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",3,20260806,0.788778877887789,0.762589928057554,0.810975609756098,0.773722627737226,0.768115942028985,0.574246088668096,0.892700473767328,0.133160117122238,0.418858335589534,0.786782768906826,106,133,31,33,0,0
