"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","id","cp","profundidade_maxima","Acuracia_Media","Sensibilidade_Media","Especificidade_Media","Precisao_Media","F1_Media","MCC_Media","ROC_AUC_Media","Brier_Media","Log_Loss_Media","Acuracia_Balanceada_Media","Posicao","Selecionada"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,"arvore_cp_0.005_profundidade_5",0.005,5,0.776851851851852,0.72972972972973,0.816420014094433,0.773115773115773,0.749624060150376,0.550688490772039,0.805706340590062,0.176782121432608,0.828266691219628,0.773074871912081,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,"arvore_cp_0.01_profundidade_5",0.01,5,0.776851851851852,0.72972972972973,0.816420014094433,0.773115773115773,0.749624060150376,0.550688490772039,0.805706340590062,0.176782121432608,0.828266691219628,0.773074871912081,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,"arvore_cp_0.02_profundidade_5",0.02,5,0.776851851851852,0.72972972972973,0.816420014094433,0.773115773115773,0.749624060150376,0.550688490772039,0.805706340590062,0.176782121432608,0.828266691219628,0.773074871912081,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,"arvore_cp_0.005_profundidade_3",0.005,3,0.768621399176955,0.675675675675676,0.846723044397463,0.794099807003033,0.724341689137455,0.537968948613218,0.806627716511437,0.17388270044528,0.544824221301417,0.761199360036569,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,"arvore_cp_0.01_profundidade_3",0.01,3,0.768621399176955,0.675675675675676,0.846723044397463,0.794099807003033,0.724341689137455,0.537968948613218,0.806627716511437,0.17388270044528,0.544824221301417,0.761199360036569,5,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,1,"arvore_cp_0.02_profundidade_3",0.02,3,0.768621399176955,0.675675675675676,0.846723044397463,0.794099807003033,0.724341689137455,0.537968948613218,0.806627716511437,0.17388270044528,0.544824221301417,0.761199360036569,6,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,"arvore_cp_0.005_profundidade_3",0.005,3,0.756224279835391,0.693693693693694,0.808668076109937,0.758333333333333,0.721772279202519,0.510199348291991,0.778272193969868,0.189485203698104,0.585456609057622,0.751180884901815,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,"arvore_cp_0.01_profundidade_3",0.01,3,0.756224279835391,0.693693693693694,0.808668076109937,0.758333333333333,0.721772279202519,0.510199348291991,0.778272193969868,0.189485203698104,0.585456609057622,0.751180884901815,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,"arvore_cp_0.02_profundidade_3",0.02,3,0.756224279835391,0.693693693693694,0.808668076109937,0.758333333333333,0.721772279202519,0.510199348291991,0.778272193969868,0.189485203698104,0.585456609057622,0.751180884901815,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,"arvore_cp_0.02_profundidade_5",0.02,5,0.743724279835391,0.693693693693694,0.785412262156448,0.741472868217054,0.712356694786935,0.487439204072942,0.775234272327296,0.194023001686757,0.594787583352183,0.739552977925071,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,"arvore_cp_0.005_profundidade_5",0.005,5,0.743724279835391,0.711711711711712,0.770260747004933,0.729708162334701,0.717682180036742,0.486543967955439,0.782400529493553,0.19286292539742,0.592306762629551,0.740986229358322,5,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,"arvore_cp_0.01_profundidade_5",0.01,5,0.743724279835391,0.711711711711712,0.770260747004933,0.729708162334701,0.717682180036742,0.486543967955439,0.782400529493553,0.19286292539742,0.592306762629551,0.740986229358322,6,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,"arvore_cp_0.005_profundidade_5",0.005,5,0.835390946502058,0.864864864864865,0.810606060606061,0.798484848484848,0.828267437620462,0.676310510926842,0.880323505323505,0.127686963598896,0.566420426774047,0.837735462735463,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,"arvore_cp_0.01_profundidade_5",0.01,5,0.835390946502058,0.864864864864865,0.810606060606061,0.798484848484848,0.828267437620462,0.676310510926842,0.880323505323505,0.127686963598896,0.566420426774047,0.837735462735463,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,"arvore_cp_0.005_profundidade_3",0.005,3,0.835390946502058,0.81981981981982,0.848484848484849,0.827450980392157,0.821891734844133,0.671386288508308,0.875819000819001,0.12991762899352,0.572221047212879,0.834152334152334,3,FALSE
