"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Fold_Interno","Semente","Configuracao","laplace","usar_kernel","ajuste","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,1,1,11110101,"gaussiano",1,FALSE,NA,0.8,0.810810810810811,0.790697674418605,0.769230769230769,0.789473684210526,0.600001886782811,0.856065367693275,0.165572831733699,0.738912616571261,0.800754242614708,30,34,9,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,1,2,11110102,"gaussiano",1,FALSE,NA,0.814814814814815,0.864864864864865,0.772727272727273,0.761904761904762,0.810126582278481,0.635642906073767,0.904791154791155,0.132547148578258,0.474416575688376,0.818796068796069,32,34,10,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,1,3,11110103,"gaussiano",1,FALSE,NA,0.864197530864197,0.756756756756757,0.954545454545455,0.933333333333333,0.835820895522388,0.733728931036863,0.925061425061425,0.112875401312825,0.401364821542264,0.855651105651106,28,42,2,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,1,1,11110201,"kde",1,TRUE,1,0.7625,0.810810810810811,0.720930232558139,0.714285714285714,0.759493670886076,0.530907462289918,0.86926461345066,0.163992618323095,0.595000523462966,0.765870521684475,30,31,12,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,1,2,11110202,"kde",1,TRUE,1,0.777777777777778,0.756756756756757,0.795454545454545,0.756756756756757,0.756756756756757,0.552211302211302,0.87960687960688,0.162353281712433,0.529623410372827,0.776105651105651,28,35,9,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,1,3,11110203,"kde",1,TRUE,1,0.864197530864197,0.756756756756757,0.954545454545455,0.933333333333333,0.835820895522388,0.733728931036863,0.942874692874693,0.107350523330812,0.370530751638983,0.855651105651106,28,42,2,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,2,1,11120101,"gaussiano",1,FALSE,NA,0.8,0.810810810810811,0.790697674418605,0.769230769230769,0.789473684210526,0.600001886782811,0.909490886235072,0.139222457787686,0.48029579575582,0.800754242614708,30,34,9,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,2,2,11120102,"gaussiano",1,FALSE,NA,0.851851851851852,0.837837837837838,0.863636363636364,0.837837837837838,0.837837837837838,0.701474201474201,0.906633906633907,0.128442097492982,0.507210717593696,0.850737100737101,31,38,6,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,2,3,11120103,"gaussiano",1,FALSE,NA,0.839506172839506,0.783783783783784,0.886363636363636,0.852941176470588,0.816901408450704,0.676408665650234,0.913390663390663,0.120218630388727,0.533881110866984,0.83507371007371,29,39,5,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,2,1,11120201,"kde",1,TRUE,1,0.8,0.837837837837838,0.767441860465116,0.75609756097561,0.794871794871795,0.603763654098064,0.891891891891892,0.143603641711836,0.515856794361651,0.802639849151477,31,33,10,6,0,0
