"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","id","laplace","usar_kernel","ajuste","Acuracia_Media","Sensibilidade_Media","Especificidade_Media","Precisao_Media","F1_Media","MCC_Media","ROC_AUC_Media","Brier_Media","Log_Loss_Media","Acuracia_Balanceada_Media","Posicao","Selecionada"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,1,"gaussiano",1,FALSE,NA,0.826337448559671,0.810810810810811,0.839323467230444,0.821489621489621,0.811807054003798,0.65645790796448,0.895305982515285,0.136998460541594,0.538231337933967,0.825067139020627,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,1,"kde",1,TRUE,1,0.801491769547325,0.774774774774775,0.823643410852713,0.801458601458601,0.784023774388407,0.605615898512694,0.897248728644077,0.144565474455447,0.498384895158259,0.799209092813744,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,2,"gaussiano",1,FALSE,NA,0.830452674897119,0.810810810810811,0.846899224806202,0.820003261179732,0.814737643499689,0.659294917969082,0.909838485419881,0.129294395223132,0.507129208072167,0.828855017808506,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,2,"kde",1,TRUE,1,0.826337448559671,0.801801801801802,0.846723044397463,0.821476964769648,0.809461268663175,0.652780528459775,0.905814905814906,0.132628444548174,0.499626767967784,0.824262423099632,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,3,"gaussiano",1,FALSE,NA,0.864197530864197,0.828828828828829,0.893939393939394,0.867979242979243,0.846554792779049,0.727449677940011,0.912981162981163,0.118085977628851,0.499609940962641,0.861384111384111,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,3,"kde",1,TRUE,1,0.831275720164609,0.792792792792793,0.863636363636364,0.829884004884005,0.809517755742012,0.660740802853622,0.901310401310401,0.129315346990959,0.506920153907963,0.828214578214578,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,4,"gaussiano",1,FALSE,NA,0.831275720164609,0.785917496443812,0.869978858350951,0.841523611897126,0.811326620738385,0.662047711330269,0.893907566184188,0.145876384360818,0.610538206004557,0.827948177397382,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,4,"kde",1,TRUE,1,0.798353909465021,0.776908487434803,0.816243833685694,0.786004273504273,0.779772731717812,0.59570140624578,0.881420059204637,0.154165308248112,0.594492198916845,0.796576160560249,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,5,"gaussiano",1,FALSE,NA,0.826594650205761,0.792792792792793,0.855708245243129,0.831746031746032,0.807908418526216,0.656037495478184,0.919756966268594,0.133830883534791,0.530605624640491,0.824250519017961,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,5,"kde",1,TRUE,1,0.81820987654321,0.774774774774775,0.855708245243129,0.83760810721595,0.797250840433548,0.644138924639854,0.917895167895168,0.133492216098865,0.50673379515062,0.815241510008952,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,1,"kde",1,TRUE,1,0.843621399176955,0.804646752015173,0.878083157152925,0.850292397660819,0.823790849673203,0.688424853953726,0.916984944218726,0.122878402662556,0.474317448134458,0.841364954584049,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,1,"gaussiano",1,FALSE,NA,0.843621399176955,0.813181602655287,0.870507399577167,0.84537037037037,0.826827966553994,0.687919838831385,0.914935186661013,0.125557435804274,0.529692609442016,0.841844501116227,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,2,"gaussiano",1,FALSE,NA,0.847170781893004,0.810810810810811,0.877554615926709,0.853320802005012,0.826568986568987,0.696831951272467,0.890520541683332,0.137238584911597,0.603630000801055,0.84418271336876,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,2,"kde",1,TRUE,1,0.826491769547325,0.783783783783784,0.862403100775194,0.828493647912886,0.802424242424242,0.652347735867541,0.901448488657791,0.137761406552546,0.521008243231906,0.823093442279489,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,3,"gaussiano",1,FALSE,NA,0.838786008230453,0.801801801801802,0.869802677942213,0.842338217338217,0.820239003305365,0.676562384510643,0.897882025789003,0.140239932498108,0.563062027222833,0.835802239872007,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,3,"kde",1,TRUE,1,0.818158436213992,0.765765765765766,0.862050739957717,0.829040404040404,0.793344963494217,0.636319068840506,0.889306325352837,0.151882459182047,0.562437818738967,0.813908252861741,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,4,"gaussiano",1,FALSE,NA,0.835390946502058,0.783783783783784,0.878787878787879,0.844198811940747,0.810850656051894,0.669726010930484,0.895372645372645,0.136041770644356,0.535738467871068,0.831285831285831,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,4,"kde",1,TRUE,1,0.810699588477366,0.765765765765766,0.848484848484849,0.809406565656566,0.784955141476881,0.619689442990328,0.89004914004914,0.143838682442804,0.543759198661601,0.807125307125307,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,5,"gaussiano",1,FALSE,NA,0.822325102880658,0.792792792792793,0.847251585623679,0.814607877107877,0.802179754124834,0.642903103069882,0.906405348265813,0.133333181331624,0.517137591243285,0.820022189208236,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,5,"kde",1,TRUE,1,0.82227366255144,0.783783783783784,0.854827343199436,0.821698343079922,0.801265303421349,0.642544513813646,0.902486524579548,0.132404018473836,0.492964634497977,0.81930556349161,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,1,"gaussiano",1,FALSE,NA,0.84320987654321,0.81981981981982,0.862755461592671,0.834171275347746,0.826253846075733,0.684464856885924,0.909748014399177,0.128776398196357,0.540469660249745,0.841287640706245,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,1,"kde",1,TRUE,1,0.81820987654321,0.801801801801802,0.831923890063425,0.802409002409002,0.801709604341183,0.634384531048908,0.897339199664781,0.147092277625,0.568367784499799,0.816862845932613,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,2,"gaussiano",1,FALSE,NA,0.818930041152263,0.794926505452821,0.840556730091614,0.826540297788545,0.803888015831442,0.645843618252171,0.913470358084801,0.136386555551938,0.528970356017481,0.817741617772218,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,2,"kde",1,TRUE,1,0.806584362139918,0.776908487434803,0.832980972515856,0.81418485934615,0.789368614183036,0.619432417482692,0.90772306745379,0.14091512621309,0.523688526181754,0.80494472997533,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,3,"kde",1,TRUE,1,0.842849794238683,0.81981981981982,0.862226920366455,0.836554821074945,0.827636086791016,0.683962305433384,0.902134163762071,0.131379117075098,0.504075480376398,0.841023370093138,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,3,"gaussiano",1,FALSE,NA,0.834722222222222,0.801801801801802,0.862579281183932,0.831746031746032,0.816463723997971,0.666632390897949,0.902248442946117,0.134271413684824,0.548481437956945,0.832190541492867,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,4,"gaussiano",1,FALSE,NA,0.838837448559671,0.792792792792793,0.877730796335447,0.847474747474747,0.818946147713271,0.675542575393312,0.906986267451384,0.125912908637707,0.510694130986803,0.83526179456412,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,4,"kde",1,TRUE,1,0.834722222222222,0.783783783783784,0.877554615926709,0.84579346092504,0.81247757073844,0.667978152241436,0.906433918061825,0.12821631105817,0.476805020796736,0.830669199855246,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,5,"gaussiano",1,FALSE,NA,0.823045267489712,0.783783783783784,0.856060606060606,0.827555057159767,0.801172951857883,0.647402521581347,0.898034398034398,0.139701820314546,0.532945831676083,0.819922194922195,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,5,"kde",1,TRUE,1,0.806584362139918,0.774774774774775,0.833333333333333,0.807782898105479,0.788029839221202,0.61434118844585,0.893939393939394,0.14147977273073,0.529934950763555,0.804054054054054,2,FALSE
