"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Semente_Externa","Semente_Interna","Semente_Reajuste","N_Treino_Externo","N_Teste_Externo","Configuracao_Selecionada","MCC_Interno_Medio","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero","Tempo_Selecao_Segundos","Tempo_Reajuste_Segundos","Tempo_Predicao_Segundos","Tempo_Total_Fold_Segundos","Status"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,1,20260804,310101,13110199,242,61,"rf_300_arvores_mtry_3",0.612586497633484,0.901639344262295,0.928571428571429,0.878787878787879,0.866666666666667,0.896551724137931,0.804750708270836,0.924242424242424,0.106559329417685,0.352008778700452,0.903679653679654,26,29,4,2,0,0,0.997737884521484,0.0249879360198975,0.00733184814453125,1.03116703033447,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,2,20260804,310102,13120499,242,61,"rf_500_arvores_mtry_4",0.594297835329843,0.852459016393443,0.821428571428571,0.878787878787879,0.851851851851852,0.836363636363636,0.702501012404424,0.915584415584416,0.119066651216991,0.374307934592065,0.850108225108225,23,29,4,5,0,0,0.392949819564819,0.0389819145202637,0.00921511650085449,0.442157983779907,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,3,20260804,310103,13130499,243,60,"rf_500_arvores_mtry_4",0.744020560964338,0.783333333333333,0.607142857142857,0.9375,0.894736842105263,0.723404255319149,0.5841132909765,0.862723214285714,0.161790697194137,0.501157930863409,0.772321428571429,17,30,2,11,0,0,0.381723165512085,0.036890983581543,0.00880312919616699,0.428416013717651,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,20260804,310104,13140299,243,60,"rf_500_arvores_mtry_3",0.604217579847795,0.883333333333333,0.962962962962963,0.818181818181818,0.8125,0.88135593220339,0.778962198557868,0.966329966329966,0.102873050108182,0.341113122978952,0.890572390572391,26,27,6,1,0,0,0.463807821273804,0.0405099391937256,0.00957393646240234,0.515252113342285,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,20260804,310105,13150299,242,61,"rf_500_arvores_mtry_3",0.716148052767643,0.786885245901639,0.678571428571429,0.878787878787879,0.826086956521739,0.745098039215686,0.573080362743761,0.872294372294372,0.145063318576262,0.436860706454352,0.778679653679654,19,29,4,9,0,0,0.382339954376221,0.0346150398254395,0.00857710838317871,0.426598072052002,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,20260805,310201,13210499,243,60,"rf_500_arvores_mtry_4",0.651844370476393,0.716666666666667,0.666666666666667,0.757575757575758,0.692307692307692,0.679245283018868,0.425918805015289,0.870931537598204,0.148266769348197,0.438898908938552,0.712121212121212,18,25,8,9,0,0,0.396781921386719,0.0385429859161377,0.00818800926208496,0.444506883621216,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,2,20260805,310202,13220299,242,61,"rf_500_arvores_mtry_3",0.677208625434316,0.786885245901639,0.821428571428571,0.757575757575758,0.741935483870968,0.779661016949153,0.577133550837664,0.867965367965368,0.148008608524152,0.447899215341931,0.789502164502164,23,25,8,5,0,0,0.466814041137695,0.0350468158721924,0.00894594192504883,0.5120530128479,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,3,20260805,310203,13230399,242,61,"rf_300_arvores_mtry_4",0.630270018152854,0.885245901639344,0.857142857142857,0.909090909090909,0.888888888888889,0.872727272727273,0.768733719910869,0.924242424242424,0.112725565794472,0.375839355665392,0.883116883116883,24,30,3,4,0,0,0.405363082885742,0.0241711139678955,0.00583696365356445,0.436414957046509,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,4,20260805,310204,13240499,243,60,"rf_500_arvores_mtry_4",0.624321955574555,0.833333333333333,0.857142857142857,0.8125,0.8,0.827586206896552,0.668153104781061,0.910714285714286,0.120783496750105,0.403222901018381,0.834821428571429,24,26,6,4,0,0,0.391115188598633,0.0381479263305664,0.00864195823669434,0.43895697593689,"completo"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,5,20260805,310205,13250199,242,61,"rf_300_arvores_mtry_3",0.659378159000099,0.868852459016393,0.75,0.96969696969697,0.954545454545455,0.84,0.746864841787322,0.930735930735931,0.118074723119281,0.377034552178693,0.859848484848485,21,32,1,7,0,0,0.379882097244263,0.0252878665924072,0.00658583641052246,0.412723064422607,"completo"
