"Protocolo","Execucao","Base","Algoritmo","Repeticao","Semente_Externa","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,20260804,0.834983498349835,0.798561151079137,0.865853658536585,0.834586466165414,0.816176470588235,0.667142099225519,0.905509738550623,0.132977302796376,0.513422353362096,0.832207404807861,111,142,22,28,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,20260805,0.831683168316832,0.798561151079137,0.859756097560976,0.828358208955224,0.813186813186813,0.660493893706591,0.907001228285664,0.132325711088645,0.513942847574131,0.829158624320056,111,141,23,28,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,20260806,0.831683168316832,0.798561151079137,0.859756097560976,0.828358208955224,0.813186813186813,0.660493893706591,0.904281452886471,0.132241863289968,0.523566138112166,0.829158624320056,111,141,23,28,0,0
