"Repeticao","Semente","id","cp","profundidade_maxima","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Tempo_Execucao_Segundos"
1,20260804,"arvore_cp_0.005_profundidade_3",0.005,3,0.722678909779915,0.65437081995227,0.78955262626554,0.752728258659256,0.700111904424165,0.448306769143737,0.750505410030286,0.195290612931602,0.578299985890451,0.721961723108905,22210,27373,7296,11731,0.621299028396606
1,20260804,"arvore_cp_0.01_profundidade_3",0.01,3,0.713044745663897,0.617630594266521,0.806455334737085,0.757525385755068,0.680462232609472,0.432215870156327,0.710632633700465,0.203277791064997,0.596101667618872,0.712042964501803,20963,27959,6710,12978,0.457134008407593
1,20260804,"arvore_cp_0.02_profundidade_3",0.02,3,0.713044745663897,0.617630594266521,0.806455334737085,0.757525385755068,0.680462232609472,0.432215870156327,0.710632633700465,0.203277791064997,0.596101667618872,0.712042964501803,20963,27959,6710,12978,0.673213005065918
1,20260804,"arvore_cp_0.005_profundidade_5",0.005,5,0.723830345430695,0.69785804778881,0.749257261530474,0.731523518329782,0.714294330518697,0.447796441860245,0.752726763242579,0.194728926777661,0.577152956150167,0.723557654659642,23686,25976,8693,10255,0.986442089080811
1,20260804,"arvore_cp_0.01_profundidade_5",0.01,5,0.713044745663897,0.617630594266521,0.806455334737085,0.757525385755068,0.680462232609472,0.432215870156327,0.710632633700465,0.203277791064997,0.596101667618872,0.712042964501803,20963,27959,6710,12978,1.12537908554077
1,20260804,"arvore_cp_0.02_profundidade_5",0.02,5,0.713044745663897,0.617630594266521,0.806455334737085,0.757525385755068,0.680462232609472,0.432215870156327,0.710632633700465,0.203277791064997,0.596101667618872,0.712042964501803,20963,27959,6710,12978,0.839303970336914
2,20260805,"arvore_cp_0.005_profundidade_3",0.005,3,0.722810085993295,0.654901151999057,0.789293028353861,0.75264957843768,0.700381258468034,0.448529950740947,0.74983170760519,0.195229157354408,0.578169131737163,0.722097090176459,22228,27364,7305,11713,0.689779043197632
2,20260805,"arvore_cp_0.01_profundidade_3",0.01,3,0.713088471068357,0.617630594266521,0.806541867374311,0.757607517166606,0.680495366087225,0.432311656050788,0.710297089532455,0.203260691454331,0.596066161621959,0.712086230820416,20963,27962,6707,12978,0.73399806022644
2,20260805,"arvore_cp_0.02_profundidade_3",0.02,3,0.713088471068357,0.617630594266521,0.806541867374311,0.757607517166606,0.680495366087225,0.432311656050788,0.710297089532455,0.203260691454331,0.596066161621959,0.712086230820416,20963,27962,6707,12978,0.67204213142395
2,20260805,"arvore_cp_0.005_profundidade_5",0.005,5,0.724296749744935,0.699890987301494,0.748190025671349,0.731260581806988,0.715231987474784,0.448687687727404,0.752128835407365,0.194618385748384,0.576922912488288,0.724040506486421,23755,25939,8730,10186,0.809448957443237
2,20260805,"arvore_cp_0.01_profundidade_5",0.01,5,0.713088471068357,0.617630594266521,0.806541867374311,0.757607517166606,0.680495366087225,0.432311656050788,0.710297089532455,0.203260691454331,0.596066161621959,0.712086230820416,20963,27962,6707,12978,0.742515802383423
2,20260805,"arvore_cp_0.02_profundidade_5",0.02,5,0.713088471068357,0.617630594266521,0.806541867374311,0.757607517166606,0.680495366087225,0.432311656050788,0.710297089532455,0.203260691454331,0.596066161621959,0.712086230820416,20963,27962,6707,12978,0.785799026489258
3,20260806,"arvore_cp_0.005_profundidade_3",0.005,3,0.722533158431716,0.651070976105595,0.792494735931235,0.75440393281442,0.698938845223222,0.448353660607745,0.748155100897384,0.195539951645622,0.578889779952746,0.721782856018415,22098,27475,7194,11843,0.736761093139648
3,20260806,"arvore_cp_0.01_profundidade_3",0.01,3,0.713088471068357,0.617630594266521,0.806541867374311,0.757607517166606,0.680495366087225,0.432311656050788,0.710989952737584,0.203255812173856,0.596053446680708,0.712086230820416,20963,27962,6707,12978,0.705291032791138
3,20260806,"arvore_cp_0.02_profundidade_3",0.02,3,0.713088471068357,0.617630594266521,0.806541867374311,0.757607517166606,0.680495366087225,0.432311656050788,0.710989952737584,0.203255812173856,0.596053446680708,0.712086230820416,20963,27962,6707,12978,0.638718843460083
3,20260806,"arvore_cp_0.005_profundidade_5",0.005,5,0.723640868678035,0.684157803246811,0.762294845539243,0.738064967262094,0.710089751234653,0.447968520542795,0.750475569812547,0.19505717867541,0.577903316937266,0.723226324393027,23221,26428,8241,10720,0.813076019287109
3,20260806,"arvore_cp_0.01_profundidade_5",0.01,5,0.713088471068357,0.617630594266521,0.806541867374311,0.757607517166606,0.680495366087225,0.432311656050788,0.710989952737584,0.203255812173856,0.596053446680708,0.712086230820416,20963,27962,6707,12978,0.68669319152832
3,20260806,"arvore_cp_0.02_profundidade_5",0.02,5,0.713088471068357,0.617630594266521,0.806541867374311,0.757607517166606,0.680495366087225,0.432311656050788,0.710989952737584,0.203255812173856,0.596053446680708,0.712086230820416,20963,27962,6707,12978,0.759760141372681
