"Repeticao","Semente","id","custo","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Tempo_Execucao_Segundos"
1,20260804,"svm_custo_0.1",0.1,0.727576155079435,0.655637724286261,0.798003980501312,0.760630298058518,0.704242289982119,0.458610542352664,0.790948812856359,0.187085847689357,0.561627478885456,0.726820852393787,22253,27666,7003,11688,1363.01231908798
1,20260804,"svm_custo_1",1,0.727561579944614,0.655402021154356,0.798205889988174,0.760746896480968,0.704156247032383,0.458606591432433,0.790931123563725,0.187098904306478,0.561649918361203,0.726803955571265,22245,27673,6996,11696,2282.11665296555
1,20260804,"svm_custo_10",10,0.727590730214254,0.655402021154356,0.798263578412991,0.760798932932043,0.704178537511871,0.458668951693888,0.790930411402917,0.18709570459363,0.561650840823047,0.726832799783674,22245,27675,6994,11696,10763.9304270744
2,20260805,"svm_custo_0.1",0.1,0.727780206966914,0.655578798503285,0.798465487899853,0.76103016622204,0.70437961981038,0.459053835344603,0.790867028241134,0.187116019035025,0.561712908337965,0.727022143201569,22251,27682,6987,11690,1142.46273994446
2,20260805,"svm_custo_1",1,0.727867657775834,0.655460946937332,0.798753930023941,0.761257870243635,0.704409087311011,0.459254648741414,0.790847601038174,0.187128854338923,0.561740661801373,0.727107438480637,22247,27692,6977,11694,1650.74770116806
2,20260805,"svm_custo_10",10,0.727969683719574,0.655637724286261,0.798782774236349,0.761332922782168,0.704543295868292,0.459452415952321,0.790844849276005,0.187130893613588,0.561745560830949,0.727210249261306,22253,27693,6976,11688,4353.09967494011
3,20260806,"svm_custo_0.1",0.1,0.727882232910654,0.656050204767096,0.798205889988174,0.760926767590473,0.704607303335232,0.459217575136762,0.79095052229725,0.187077447007519,0.561627815880264,0.727128047377635,22267,27673,6996,11674,860.091517925262
3,20260806,"svm_custo_1",1,0.727896808045474,0.655991278984119,0.7982924226254,0.760988447604074,0.704599756325258,0.45925554395533,0.790929179568678,0.187095126688618,0.561652162623014,0.72714185080476,22265,27676,6993,11676,1355.70564699173
3,20260806,"svm_custo_10",10,0.727809357236554,0.655873427418167,0.798234734200583,0.760903746240087,0.704495466556957,0.459082108388308,0.790926955553362,0.187093892249552,0.561655297301129,0.727054080809375,22261,27674,6995,11680,4310.46359395981
