"Metrica","Media","DP"
"Acuracia",0.729951902055094,0.000342748171295867
"Sensibilidade",0.689343272148729,0.000679565280614685
"Especificidade",0.769707808128299,7.63146127971687e-05
"Precisao",0.745578444351183,0.000203979508880551
"F1",0.716358854928148,0.000457509105046755
"MCC",0.460701848988221,0.000669224151565778
"ROC_AUC",0.792791636593771,0.000855814081228524
"Brier",0.184612691782895,0.00034091858015304
"Log_Loss",0.55201283554381,0.000874893429215701
"Acuracia_Balanceada",0.729525540138514,0.000346240727437922
"Tempo_Execucao_Segundos",301.847885608673,7.0331732466679
