"Repeticao","Semente","id","laplace","usar_kernel","ajuste","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Tempo_Execucao_Segundos"
1,20260804,"gaussiano",1,FALSE,NA,0.719851333624836,0.621991102206771,0.815656638495486,0.767616900589048,0.687173477857526,0.446490633195168,0.786855230520594,0.198300675153223,0.647589281248547,0.718823870351128,21111,28278,6391,12830,0.543823003768921
1,20260804,"kde",1,TRUE,1,0.715405917504737,0.585427653869951,0.842654821310104,0.784600197433366,0.670536226504235,0.443523857128315,0.785193584713685,0.211429930085516,0.662057172945838,0.714041237590027,19870,29214,5455,14071,0.184305906295776
2,20260805,"gaussiano",1,FALSE,NA,0.719909634164116,0.622020565098259,0.815743171132712,0.767709090909091,0.687228397975293,0.44661434822054,0.786844676858304,0.198318179317107,0.647682414033438,0.718881868115485,21112,28281,6388,12829,0.19048810005188
2,20260805,"kde",1,TRUE,1,0.715318466695817,0.585574968327392,0.842337534973608,0.784302119095537,0.670523936439391,0.443289706944707,0.78511863531252,0.211486345165513,0.662246374789389,0.7139562516505,19875,29203,5466,14066,0.178164005279541
3,20260806,"gaussiano",1,FALSE,NA,0.719967934703396,0.622197342447188,0.815685482707895,0.767703940671805,0.687334212110856,0.446714346661448,0.786877305805987,0.198293506857723,0.647524646834381,0.718941412577541,21118,28279,6390,12823,0.203284978866577
3,20260806,"kde",1,TRUE,1,0.715318466695817,0.585191950738045,0.842712509734922,0.784594114161564,0.670379370865398,0.443375764259999,0.785157745943361,0.211420529351106,0.662323997385595,0.713952230236484,19862,29216,5453,14079,0.184858083724976
