"Repeticao","Semente","id","laplace","usar_kernel","ajuste","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Tempo_Execucao_Segundos"
1,20260804,"gaussiano",1,FALSE,NA,0.719851333624836,0.621991102206771,0.815656638495486,0.767616900589048,0.687173477857526,0.446490633195168,0.786855230520594,0.198300675153223,0.647589281248547,0.718823870351128,21111,28278,6391,12830,0.543823003768921
2,20260805,"gaussiano",1,FALSE,NA,0.719909634164116,0.622020565098259,0.815743171132712,0.767709090909091,0.687228397975293,0.44661434822054,0.786844676858304,0.198318179317107,0.647682414033438,0.718881868115485,21112,28281,6388,12829,0.19048810005188
3,20260806,"gaussiano",1,FALSE,NA,0.719967934703396,0.622197342447188,0.815685482707895,0.767703940671805,0.687334212110856,0.446714346661448,0.786877305805987,0.198293506857723,0.647524646834381,0.718941412577541,21118,28279,6390,12823,0.203284978866577
