"Repeticao","Semente","id","custo","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Tempo_Execucao_Segundos"
1,20260804,"svm_custo_1",1,0.834983498349835,0.784172661870504,0.878048780487805,0.844961240310077,0.813432835820896,0.667364473540188,0.893928759431479,0.127858647254634,0.403474078757627,0.831110721179154,109,144,20,30,0.0644710063934326
2,20260805,"svm_custo_1",1,0.831683168316832,0.79136690647482,0.865853658536585,0.833333333333333,0.811808118081181,0.660473576899503,0.900728197929461,0.123144252464501,0.390630214291126,0.828610282505703,110,142,22,29,0.0594902038574219
3,20260806,"svm_custo_1",1,0.821782178217822,0.798561151079137,0.841463414634146,0.81021897810219,0.804347826086957,0.640783971982219,0.896078259343745,0.125683731546652,0.402932209273586,0.820012282856642,111,138,26,28,0.0583570003509521
