"Repeticao","Semente","id","custo","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Tempo_Execucao_Segundos"
1,20260804,"svm_custo_0.1",0.1,0.828382838283828,0.784172661870504,0.865853658536585,0.83206106870229,0.807407407407407,0.653823302621286,0.902658361115985,0.124787474712711,0.391893935272253,0.825013160203544,109,142,22,30,0.167244911193848
1,20260804,"svm_custo_1",1,0.834983498349835,0.784172661870504,0.878048780487805,0.844961240310077,0.813432835820896,0.667364473540188,0.893928759431479,0.127858647254634,0.403474078757627,0.831110721179154,109,144,20,30,0.0644710063934326
1,20260804,"svm_custo_10",10,0.811881188118812,0.762589928057554,0.853658536585366,0.815384615384615,0.788104089219331,0.620426653329083,0.883619933321635,0.134626063240108,0.426075039761814,0.80812423232146,106,140,24,33,0.14881706237793
2,20260805,"svm_custo_0.1",0.1,0.798679867986799,0.748201438848921,0.841463414634146,0.8,0.773234200743494,0.593662804246123,0.896911738901562,0.129147601277641,0.398861958937072,0.794832426741534,104,138,26,35,0.0555808544158936
2,20260805,"svm_custo_1",1,0.831683168316832,0.79136690647482,0.865853658536585,0.833333333333333,0.811808118081181,0.660473576899503,0.900728197929461,0.123144252464501,0.390630214291126,0.828610282505703,110,142,22,29,0.0594902038574219
2,20260805,"svm_custo_10",10,0.818481848184819,0.755395683453237,0.871951219512195,0.833333333333333,0.792452830188679,0.634256865245148,0.900464993858572,0.122556891877132,0.390897823856131,0.813673451482716,105,143,21,34,0.162770986557007
3,20260806,"svm_custo_0.1",0.1,0.831683168316832,0.798561151079137,0.859756097560976,0.828358208955224,0.813186813186813,0.660493893706591,0.899192840849272,0.126361055522094,0.40086286957845,0.829158624320056,111,141,23,28,0.0556840896606445
3,20260806,"svm_custo_1",1,0.821782178217822,0.798561151079137,0.841463414634146,0.81021897810219,0.804347826086957,0.640783971982219,0.896078259343745,0.125683731546652,0.402932209273586,0.820012282856642,111,138,26,28,0.0583570003509521
3,20260806,"svm_custo_10",10,0.825082508250825,0.784172661870504,0.859756097560976,0.825757575757576,0.804428044280443,0.647115981531692,0.890331637129321,0.131465387559746,0.421893052655887,0.82196437971574,109,141,23,30,0.157571077346802
