"Repeticao","Semente","id","laplace","usar_kernel","ajuste","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Tempo_Execucao_Segundos"
1,20260804,"gaussiano",1,FALSE,NA,0.834983498349835,0.798561151079137,0.865853658536585,0.834586466165414,0.816176470588235,0.667142099225519,0.905509738550623,0.132977302796376,0.513422353362096,0.832207404807861,111,142,22,28,0.0767700672149658
1,20260804,"kde",1,TRUE,1,0.831683168316832,0.798561151079137,0.859756097560976,0.828358208955224,0.813186813186813,0.660493893706591,0.900289524477979,0.135439948652752,0.507087202799943,0.829158624320056,111,141,23,28,0.0407428741455078
2,20260805,"gaussiano",1,FALSE,NA,0.841584158415842,0.805755395683453,0.871951219512195,0.842105263157895,0.823529411764706,0.680488465002974,0.90634321810844,0.130694290487125,0.513432769374174,0.838853307597824,112,143,21,27,0.0136139392852783
2,20260805,"kde",1,TRUE,1,0.834983498349835,0.805755395683453,0.859756097560976,0.82962962962963,0.817518248175182,0.667211247944166,0.905246534479733,0.131927826146365,0.492079516809466,0.832755746622214,112,141,23,27,0.0351979732513428
3,20260806,"gaussiano",1,FALSE,NA,0.831683168316832,0.798561151079137,0.859756097560976,0.828358208955224,0.813186813186813,0.660493893706591,0.904807861028251,0.13204929119015,0.522253112482376,0.829158624320056,111,141,23,28,0.0147979259490967
3,20260806,"kde",1,TRUE,1,0.821782178217822,0.798561151079137,0.841463414634146,0.81021897810219,0.804347826086957,0.640783971982219,0.894893841024741,0.141952181213061,0.543042722947107,0.820012282856642,111,138,26,28,0.033444881439209
